id,exercise_name,type_of_activity,type_of_equipment,body_part,type,muscle_groups_activated,instruction
286,Standing Lateral Raise Variation,mobility,jump rope,upper,pull,"lats, chest, traps","Setup: Prepare equipment: jump rope. Ensure stable setup and safe load. Draw ribs down, keep shoulders packed and away from ears. Primary focus: lats, chest, traps. Movement: Pull/row to a controlled end range, then return under control (Reach a strong squeeze at end range; control the return fully.). Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and elbows close. Common mistakes: avoid shrugging or using momentum. Avoid collapsing posture or losing core brace. Safety: Never force end range; joints should feel stable."
287,Standing Jump Rope,cardio,resistance band,upper,pull,"biceps, chest, traps","Setup: Anchor the resistance band safely; check for tears before use. Draw ribs down, keep shoulders packed and away from ears. Primary focus: biceps, chest, traps. Movement: Pull/row to a controlled end range, then return under control (Reach a strong squeeze at end range; control the return fully.). Tempo: steady pace. Dose: 5–15 minutes (RPE 6–7/10). Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and elbows close. Common mistakes: avoid shrugging or using momentum. Avoid collapsing posture or losing core brace. Safety: Keep posture tall; reduce pace if form degrades."
288,Tall-Kneeling Leg Press,cardio,bike,lower,push,"hamstrings, calves, quads","Setup: Prepare equipment: bike. Ensure stable setup and safe load. Brace core, keep neutral spine, drive through whole foot. Primary focus: hamstrings, calves, quads. Movement: Press/drive to a controlled end range, then return under control (Use a full, pain‑free range, stopping just before joint lockout.). Tempo: steady pace. Dose: 5–15 minutes (RPE 6–7/10). Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and knees tracking over toes. Common mistakes: avoid flaring elbows or arching the back. Avoid collapsing posture or losing core brace. Safety: Keep posture tall; reduce pace if form degrades."
289,Paused Lateral Raise,strength,cable machine,core,hold,"abs, lower back, obliques","Setup: Adjust machine seat and lever to align joints with pivots. Exhale gently to brace; avoid flaring ribs or arching low back. Primary focus: abs, lower back, obliques. Movement: Hold/maintain to a controlled end range, then return under control (Find a stable, aligned position and sustain tension without shaking.). Tempo: 3‑1‑1‑0. Dose: 3–5 sets × 20–40 sec hold. Rest 45–90s between sets. Breathing: Breathe light and steady; do not brace with a breath hold. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid holding breath; keep steady tension. Avoid collapsing posture or losing core brace. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
290,Dips Reach,warm-up,rower,full body,stretch,"core, back, chest","Setup: Prepare equipment: rower. Ensure stable setup and safe load. Maintain tall posture, neutral spine, and steady breathing. Primary focus: core, back, chest. Movement: Gently enter the stretch until a mild pull is felt; hold without bouncing and keep breathing. Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Slow nasal breaths; exhale to deepen slightly, no pain. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid bouncing; stay within mild discomfort. Do not bounce or hyperextend joints. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
291,Copenhagen Running,warm-up,smith machine,full body,pull,"core, legs, back","Setup: Adjust machine seat and lever to align joints with pivots. Maintain tall posture, neutral spine, and steady breathing. Primary focus: core, legs, back. Movement: Pull/row to a controlled end range, then return under control (Reach a strong squeeze at end range; control the return fully.). Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and elbows close. Common mistakes: avoid shrugging or using momentum. Avoid collapsing posture or losing core brace. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
292,Explosive Mountain Climber,strength,treadmill,lower,push,"calves, glutes, quads","Setup: Prepare equipment: treadmill. Ensure stable setup and safe load. Brace core, keep neutral spine, drive through whole foot. Primary focus: calves, glutes, quads. Movement: Press/drive to a controlled end range, then return under control (Use a full, pain‑free range, stopping just before joint lockout.). Tempo: 3‑1‑1‑0. Dose: 3–4 sets × 6–10 reps. Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and knees tracking over toes. Common mistakes: avoid flaring elbows or arching the back. Avoid collapsing posture or losing core brace. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
293,Cycling March,strength,resistance band,full body,stretch,"core, back, legs","Setup: Anchor the resistance band safely; check for tears before use. Maintain tall posture, neutral spine, and steady breathing. Primary focus: core, back, legs. Movement: Gently enter the stretch until a mild pull is felt; hold without bouncing and keep breathing. Tempo: 3‑1‑1‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Slow nasal breaths; exhale to deepen slightly, no pain. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid bouncing; stay within mild discomfort. Do not bounce or hyperextend joints. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
294,Farmer Carry Raise,mobility,bike,full body,stretch,"core, legs, chest","Setup: Prepare equipment: bike. Ensure stable setup and safe load. Maintain tall posture, neutral spine, and steady breathing. Primary focus: core, legs, chest. Movement: Gently enter the stretch until a mild pull is felt; hold without bouncing and keep breathing. Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Slow nasal breaths; exhale to deepen slightly, no pain. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid bouncing; stay within mild discomfort. Do not bounce or hyperextend joints. Safety: Never force end range; joints should feel stable."
295,Paused Side Plank,strength,bodyweight,lower,stretch,"hamstrings, calves, quads","Setup: Bodyweight only—use controlled tempo and balance. Brace core, keep neutral spine, drive through whole foot. Primary focus: hamstrings, calves, quads. Movement: Gently enter the stretch until a mild pull is felt; hold without bouncing and keep breathing. Tempo: 3‑1‑1‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Slow nasal breaths; exhale to deepen slightly, no pain. Coaching cues: keep neck long, ribs down, and knees tracking over toes. Common mistakes: avoid bouncing; stay within mild discomfort. Do not bounce or hyperextend joints. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
296,Deficit Squat Combo,strength,barbells,lower,hold,"quads, calves, hamstrings","Setup: Set barbell with collars secured; grip evenly; brace before lift. Brace core, keep neutral spine, drive through whole foot. Primary focus: quads, calves, hamstrings. Movement: Sit hips back and down until thighs are at least parallel, then stand by driving through mid‑foot; keep chest proud and spine neutral. Tempo: 3‑1‑1‑0. Dose: 3–5 sets × 20–40 sec hold. Rest 45–90s between sets. Breathing: Breathe light and steady; do not brace with a breath hold. Coaching cues: keep neck long, ribs down, and knees tracking over toes. Common mistakes: avoid holding breath; keep steady tension. Avoid collapsing posture or losing core brace. Safety: Start lighter than you think; add load gradually."
297,Deficit Plank,mobility,pull-up bar,full body,push,"core, back, legs","Setup: Prepare equipment: pull-up bar. Ensure stable setup and safe load. Maintain tall posture, neutral spine, and steady breathing. Primary focus: core, back, legs. Movement: Create a straight line from ears to ankles; squeeze glutes and quads; keep belly slightly tucked. Hold steadily. Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid flaring elbows or arching the back. Avoid collapsing posture or losing core brace. Safety: Never force end range; joints should feel stable."
298,Dynamic Jump Rope,cardio,pull-up bar,full body,hold,"legs, back, core","Setup: Prepare equipment: pull-up bar. Ensure stable setup and safe load. Maintain tall posture, neutral spine, and steady breathing. Primary focus: legs, back, core. Movement: Hold/maintain to a controlled end range, then return under control (Find a stable, aligned position and sustain tension without shaking.). Tempo: steady pace. Dose: 5–15 minutes (RPE 6–7/10). Rest 45–90s between sets. Breathing: Breathe light and steady; do not brace with a breath hold. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid holding breath; keep steady tension. Avoid collapsing posture or losing core brace. Safety: Keep posture tall; reduce pace if form degrades."
299,Half-Kneeling Bench Press Twist,cardio,bike,full body,hold,"legs, core, back","Setup: Prepare equipment: bike. Ensure stable setup and safe load. Maintain tall posture, neutral spine, and steady breathing. Primary focus: legs, core, back. Movement: Hold/maintain to a controlled end range, then return under control (Find a stable, aligned position and sustain tension without shaking.). Tempo: steady pace. Dose: 5–15 minutes (RPE 6–7/10). Rest 45–90s between sets. Breathing: Breathe light and steady; do not brace with a breath hold. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid holding breath; keep steady tension. Avoid collapsing posture or losing core brace. Safety: Keep posture tall; reduce pace if form degrades."
300,Feet-Elevated Running,warm-up,cable machine,lower,stretch,"quads, glutes, hamstrings","Setup: Adjust machine seat and lever to align joints with pivots. Brace core, keep neutral spine, drive through whole foot. Primary focus: quads, glutes, hamstrings. Movement: Gently enter the stretch until a mild pull is felt; hold without bouncing and keep breathing. Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Slow nasal breaths; exhale to deepen slightly, no pain. Coaching cues: keep neck long, ribs down, and knees tracking over toes. Common mistakes: avoid bouncing; stay within mild discomfort. Do not bounce or hyperextend joints. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
301,Push-Up Iso,mobility,bodyweight,lower,hold,"hamstrings, glutes, calves","Setup: Bodyweight only—use controlled tempo and balance. Brace core, keep neutral spine, drive through whole foot. Primary focus: hamstrings, glutes, calves. Movement: Lower chest between hands with elbows ~45°, keep body in one line; press back up without flaring. Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Breathe light and steady; do not brace with a breath hold. Coaching cues: keep neck long, ribs down, and knees tracking over toes. Common mistakes: avoid holding breath; keep steady tension. Avoid collapsing posture or losing core brace. Safety: Never force end range; joints should feel stable."
302,B-Stance Dips,strength,rower,core,hold,"lower back, abs, obliques","Setup: Prepare equipment: rower. Ensure stable setup and safe load. Exhale gently to brace; avoid flaring ribs or arching low back. Primary focus: lower back, abs, obliques. Movement: Hold/maintain to a controlled end range, then return under control (Find a stable, aligned position and sustain tension without shaking.). Tempo: 3‑1‑1‑0. Dose: 3–5 sets × 20–40 sec hold. Rest 45–90s between sets. Breathing: Breathe light and steady; do not brace with a breath hold. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid holding breath; keep steady tension. Avoid collapsing posture or losing core brace. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
303,Chest Fly Reach,warm-up,kettlebells,lower,stretch,"hamstrings, calves, quads","Setup: Place kettlebell close to midline; hinge to grip; pack shoulders. Brace core, keep neutral spine, drive through whole foot. Primary focus: hamstrings, calves, quads. Movement: Gently enter the stretch until a mild pull is felt; hold without bouncing and keep breathing. Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Slow nasal breaths; exhale to deepen slightly, no pain. Coaching cues: keep neck long, ribs down, and knees tracking over toes. Common mistakes: avoid bouncing; stay within mild discomfort. Do not bounce or hyperextend joints. Safety: Keep bell close to centerline to protect lower back."
304,Half-Kneeling Bench Press,strength,rings,lower,stretch,"hamstrings, calves, glutes","Setup: Prepare equipment: rings. Ensure stable setup and safe load. Brace core, keep neutral spine, drive through whole foot. Primary focus: hamstrings, calves, glutes. Movement: Gently enter the stretch until a mild pull is felt; hold without bouncing and keep breathing. Tempo: 3‑1‑1‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Slow nasal breaths; exhale to deepen slightly, no pain. Coaching cues: keep neck long, ribs down, and knees tracking over toes. Common mistakes: avoid bouncing; stay within mild discomfort. Do not bounce or hyperextend joints. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
305,Copenhagen Lateral Raise Combo,mobility,rings,lower,hold,"glutes, hamstrings, calves","Setup: Prepare equipment: rings. Ensure stable setup and safe load. Brace core, keep neutral spine, drive through whole foot. Primary focus: glutes, hamstrings, calves. Movement: Hold/maintain to a controlled end range, then return under control (Find a stable, aligned position and sustain tension without shaking.). Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Breathe light and steady; do not brace with a breath hold. Coaching cues: keep neck long, ribs down, and knees tracking over toes. Common mistakes: avoid holding breath; keep steady tension. Avoid collapsing posture or losing core brace. Safety: Never force end range; joints should feel stable."
306,Dynamic Plank Iso,mobility,jump rope,full body,hold,"legs, back, core","Setup: Prepare equipment: jump rope. Ensure stable setup and safe load. Maintain tall posture, neutral spine, and steady breathing. Primary focus: legs, back, core. Movement: Create a straight line from ears to ankles; squeeze glutes and quads; keep belly slightly tucked. Hold steadily. Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Breathe light and steady; do not brace with a breath hold. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid holding breath; keep steady tension. Avoid collapsing posture or losing core brace. Safety: Never force end range; joints should feel stable."
307,Rotational Lateral Raise,mobility,cable machine,upper,hold,"traps, biceps, forearms","Setup: Adjust machine seat and lever to align joints with pivots. Draw ribs down, keep shoulders packed and away from ears. Primary focus: traps, biceps, forearms. Movement: Hold/maintain to a controlled end range, then return under control (Find a stable, aligned position and sustain tension without shaking.). Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Breathe light and steady; do not brace with a breath hold. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid holding breath; keep steady tension. Avoid collapsing posture or losing core brace. Safety: Never force end range; joints should feel stable."
308,Deficit Hip Thrust Combo,mobility,treadmill,lower,push,"glutes, calves, hamstrings","Setup: Prepare equipment: treadmill. Ensure stable setup and safe load. Brace core, keep neutral spine, drive through whole foot. Primary focus: glutes, calves, hamstrings. Movement: Drive through heels to extend hips fully; pause and squeeze glutes, then lower with control. Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and knees tracking over toes. Common mistakes: avoid flaring elbows or arching the back. Avoid collapsing posture or losing core brace. Safety: Never force end range; joints should feel stable."
309,Seated Running,strength,rower,full body,pull,"legs, back, chest","Setup: Prepare equipment: rower. Ensure stable setup and safe load. Maintain tall posture, neutral spine, and steady breathing. Primary focus: legs, back, chest. Movement: Pull/row to a controlled end range, then return under control (Reach a strong squeeze at end range; control the return fully.). Tempo: 3‑1‑1‑0. Dose: 3–4 sets × 6–10 reps. Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and elbows close. Common mistakes: avoid shrugging or using momentum. Avoid collapsing posture or losing core brace. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
310,Rotational Chin-Up,cardio,dip belt,upper,stretch,"traps, chest, lats","Setup: Prepare equipment: dip belt. Ensure stable setup and safe load. Draw ribs down, keep shoulders packed and away from ears. Primary focus: traps, chest, lats. Movement: Gently enter the stretch until a mild pull is felt; hold without bouncing and keep breathing. Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Slow nasal breaths; exhale to deepen slightly, no pain. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid bouncing; stay within mild discomfort. Do not bounce or hyperextend joints. Safety: Keep posture tall; reduce pace if form degrades."
311,Plank Twist,mobility,treadmill,core,hold,"abs, lower back, obliques","Setup: Prepare equipment: treadmill. Ensure stable setup and safe load. Exhale gently to brace; avoid flaring ribs or arching low back. Primary focus: abs, lower back, obliques. Movement: Create a straight line from ears to ankles; squeeze glutes and quads; keep belly slightly tucked. Hold steadily. Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Breathe light and steady; do not brace with a breath hold. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid holding breath; keep steady tension. Avoid collapsing posture or losing core brace. Safety: Never force end range; joints should feel stable."
312,Paused Glute Bridge Rotation,mobility,cable machine,core,hold,"abs, obliques, lower back","Setup: Adjust machine seat and lever to align joints with pivots. Exhale gently to brace; avoid flaring ribs or arching low back. Primary focus: abs, obliques, lower back. Movement: Drive through heels to extend hips fully; pause and squeeze glutes, then lower with control. Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Breathe light and steady; do not brace with a breath hold. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid holding breath; keep steady tension. Avoid collapsing posture or losing core brace. Safety: Never force end range; joints should feel stable."
313,Half-Kneeling Face Pull,cardio,dip belt,upper,hold,"forearms, biceps, deltoids","Setup: Prepare equipment: dip belt. Ensure stable setup and safe load. Draw ribs down, keep shoulders packed and away from ears. Primary focus: forearms, biceps, deltoids. Movement: Pull elbows back toward hips, squeeze shoulder blades, then return slowly without shrugging. Tempo: steady pace. Dose: 5–15 minutes (RPE 6–7/10). Rest 45–90s between sets. Breathing: Breathe light and steady; do not brace with a breath hold. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid holding breath; keep steady tension. Avoid collapsing posture or losing core brace. Safety: Keep posture tall; reduce pace if form degrades."
314,B-Stance Chin-Up Iso,mobility,bike,full body,stretch,"back, core, chest","Setup: Prepare equipment: bike. Ensure stable setup and safe load. Maintain tall posture, neutral spine, and steady breathing. Primary focus: back, core, chest. Movement: Gently enter the stretch until a mild pull is felt; hold without bouncing and keep breathing. Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Slow nasal breaths; exhale to deepen slightly, no pain. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid bouncing; stay within mild discomfort. Do not bounce or hyperextend joints. Safety: Never force end range; joints should feel stable."
315,Rowing Iso,warm-up,bodyweight,full body,stretch,"chest, core, back","Setup: Bodyweight only—use controlled tempo and balance. Maintain tall posture, neutral spine, and steady breathing. Primary focus: chest, core, back. Movement: Gently enter the stretch until a mild pull is felt; hold without bouncing and keep breathing. Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Slow nasal breaths; exhale to deepen slightly, no pain. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid bouncing; stay within mild discomfort. Do not bounce or hyperextend joints. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
316,Rowing Pulse,cardio,jump rope,upper,pull,"biceps, traps, deltoids","Setup: Prepare equipment: jump rope. Ensure stable setup and safe load. Draw ribs down, keep shoulders packed and away from ears. Primary focus: biceps, traps, deltoids. Movement: Pull elbows back toward hips, squeeze shoulder blades, then return slowly without shrugging. Tempo: steady pace. Dose: 5–15 minutes (RPE 6–7/10). Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and elbows close. Common mistakes: avoid shrugging or using momentum. Avoid collapsing posture or losing core brace. Safety: Keep posture tall; reduce pace if form degrades."
317,Close-Grip Front Raise,mobility,treadmill,lower,push,"quads, calves, glutes","Setup: Prepare equipment: treadmill. Ensure stable setup and safe load. Brace core, keep neutral spine, drive through whole foot. Primary focus: quads, calves, glutes. Movement: Press/drive to a controlled end range, then return under control (Use a full, pain‑free range, stopping just before joint lockout.). Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and knees tracking over toes. Common mistakes: avoid flaring elbows or arching the back. Avoid collapsing posture or losing core brace. Safety: Never force end range; joints should feel stable."
318,Wide-Grip Jumping Jack Rotation,mobility,pull-up bar,lower,pull,"glutes, hamstrings, quads","Setup: Prepare equipment: pull-up bar. Ensure stable setup and safe load. Brace core, keep neutral spine, drive through whole foot. Primary focus: glutes, hamstrings, quads. Movement: Pull/row to a controlled end range, then return under control (Reach a strong squeeze at end range; control the return fully.). Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and elbows close. Common mistakes: avoid shrugging or using momentum. Avoid collapsing posture or losing core brace. Safety: Never force end range; joints should feel stable."
319,Deficit Overhead Press Series,cardio,pull-up bar,upper,push,"forearms, lats, chest","Setup: Prepare equipment: pull-up bar. Ensure stable setup and safe load. Draw ribs down, keep shoulders packed and away from ears. Primary focus: forearms, lats, chest. Movement: Squeeze glutes and ribs down, press overhead without arching; lock out with biceps by ears. Tempo: steady pace. Dose: 5–15 minutes (RPE 6–7/10). Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid flaring elbows or arching the back. Avoid collapsing posture or losing core brace. Safety: Keep posture tall; reduce pace if form degrades."
320,Explosive Side Plank Combo,strength,rower,lower,pull,"calves, glutes, quads","Setup: Prepare equipment: rower. Ensure stable setup and safe load. Brace core, keep neutral spine, drive through whole foot. Primary focus: calves, glutes, quads. Movement: Create a straight line from ears to ankles; squeeze glutes and quads; keep belly slightly tucked. Hold steadily. Tempo: 3‑1‑1‑0. Dose: 3–4 sets × 6–10 reps. Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and elbows close. Common mistakes: avoid shrugging or using momentum. Avoid collapsing posture or losing core brace. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
321,Seated Lateral Raise,warm-up,cable machine,core,push,"lower back, obliques, abs","Setup: Adjust machine seat and lever to align joints with pivots. Exhale gently to brace; avoid flaring ribs or arching low back. Primary focus: lower back, obliques, abs. Movement: Press/drive to a controlled end range, then return under control (Use a full, pain‑free range, stopping just before joint lockout.). Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid flaring elbows or arching the back. Avoid collapsing posture or losing core brace. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
322,Chest Fly Rotation,cardio,rower,lower,pull,"hamstrings, glutes, calves","Setup: Prepare equipment: rower. Ensure stable setup and safe load. Brace core, keep neutral spine, drive through whole foot. Primary focus: hamstrings, glutes, calves. Movement: Pull/row to a controlled end range, then return under control (Reach a strong squeeze at end range; control the return fully.). Tempo: steady pace. Dose: 5–15 minutes (RPE 6–7/10). Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and elbows close. Common mistakes: avoid shrugging or using momentum. Avoid collapsing posture or losing core brace. Safety: Keep posture tall; reduce pace if form degrades."
323,Single-Leg Tricep Extension,warm-up,bike,core,stretch,"lower back, obliques, abs","Setup: Prepare equipment: bike. Ensure stable setup and safe load. Exhale gently to brace; avoid flaring ribs or arching low back. Primary focus: lower back, obliques, abs. Movement: Gently enter the stretch until a mild pull is felt; hold without bouncing and keep breathing. Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Slow nasal breaths; exhale to deepen slightly, no pain. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid bouncing; stay within mild discomfort. Do not bounce or hyperextend joints. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
324,Decline Step-Up,strength,rower,upper,hold,"biceps, traps, lats","Setup: Prepare equipment: rower. Ensure stable setup and safe load. Draw ribs down, keep shoulders packed and away from ears. Primary focus: biceps, traps, lats. Movement: Hold/maintain to a controlled end range, then return under control (Find a stable, aligned position and sustain tension without shaking.). Tempo: 3‑1‑1‑0. Dose: 3–5 sets × 20–40 sec hold. Rest 45–90s between sets. Breathing: Breathe light and steady; do not brace with a breath hold. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid holding breath; keep steady tension. Avoid collapsing posture or losing core brace. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
325,Incline Deadlift Series,strength,dip belt,upper,hold,"forearms, deltoids, lats","Setup: Prepare equipment: dip belt. Ensure stable setup and safe load. Draw ribs down, keep shoulders packed and away from ears. Primary focus: forearms, deltoids, lats. Movement: Hinge at hips with a flat back, push hips back, then extend to stand tall; keep bar/bell close to shins. Tempo: 3‑1‑1‑0. Dose: 3–5 sets × 20–40 sec hold. Rest 45–90s between sets. Breathing: Breathe light and steady; do not brace with a breath hold. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid holding breath; keep steady tension. Avoid collapsing posture or losing core brace. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
326,Static Dips,warm-up,barbells,full body,hold,"legs, back, chest","Setup: Set barbell with collars secured; grip evenly; brace before lift. Maintain tall posture, neutral spine, and steady breathing. Primary focus: legs, back, chest. Movement: Hold/maintain to a controlled end range, then return under control (Find a stable, aligned position and sustain tension without shaking.). Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Breathe light and steady; do not brace with a breath hold. Coaching cues: keep neck long, ribs down, and shoulders down. Common mistakes: avoid holding breath; keep steady tension. Avoid collapsing posture or losing core brace. Safety: Start lighter than you think; add load gradually."
327,Isometric Bicep Curl,strength,kettlebells,lower,pull,"hamstrings, calves, glutes","Setup: Place kettlebell close to midline; hinge to grip; pack shoulders. Brace core, keep neutral spine, drive through whole foot. Primary focus: hamstrings, calves, glutes. Movement: Pull/row to a controlled end range, then return under control (Reach a strong squeeze at end range; control the return fully.). Tempo: 3‑1‑1‑0. Dose: 3–4 sets × 6–10 reps. Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and elbows close. Common mistakes: avoid shrugging or using momentum. Avoid collapsing posture or losing core brace. Safety: Keep bell close to centerline to protect lower back."
328,Front Raise Combo,strength,jump rope,upper,pull,"triceps, lats, biceps","Setup: Prepare equipment: jump rope. Ensure stable setup and safe load. Draw ribs down, keep shoulders packed and away from ears. Primary focus: triceps, lats, biceps. Movement: Pull/row to a controlled end range, then return under control (Reach a strong squeeze at end range; control the return fully.). Tempo: 3‑1‑1‑0. Dose: 3–4 sets × 6–10 reps. Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and elbows close. Common mistakes: avoid shrugging or using momentum. Avoid collapsing posture or losing core brace. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
329,Deficit Lunge,warm-up,resistance band,full body,pull,"back, core, chest","Setup: Anchor the resistance band safely; check for tears before use. Maintain tall posture, neutral spine, and steady breathing. Primary focus: back, core, chest. Movement: Step and lower until front thigh is near parallel, back knee under hip; drive through front foot to stand. Tempo: 2‑2‑2‑0. Dose: 1–2 sets × 30–60 sec each side. Rest 45–90s between sets. Breathing: Inhale to prepare; exhale on the effort; inhale on the return. Coaching cues: keep neck long, ribs down, and elbows close. Common mistakes: avoid shrugging or using momentum. Avoid collapsing posture or losing core brace. Safety: Stop if you feel sharp pain, dizziness, or pins‑and‑needles."
